id,date,tweet
1470040292086722563,2021-12-12 14:38:12+00:00,😳😳😳 #AbuDhabiGP #F1
1465305899581546501,2021-11-29 13:05:25+00:00,TT x KM 🔥🔥🔥 https://t.co/OzRhhx77Gy
1465033037289246727,2021-11-28 19:01:09+00:00,"RIP VIRGIL ABLOH 🕊

No one will forget the impact you had. God bless you my friend."
1459650924981411847,2021-11-13 22:34:34+00:00,"DIRECTION LE QATAR 🇫🇷✈️🇶🇦

Soirée mémorable pour une qualification méritée. 
Une grosse pensée pour toutes les familles des victimes 13.11.15. 
Et aussi une grande fierté de rejoindre la légende J.Fontaine avec ce quadruplé. #KYLI4N https://t.co/njHbgWJBCN"
1459232453768491016,2021-11-12 18:51:42+00:00,@equipedefrance 🏡👋🏽
1459232382855299079,2021-11-12 18:51:25+00:00,@Farodessinateur Un grand merci à toi 😄
1456280268990525441,2021-11-04 15:20:47+00:00,😆😆😆 @nikefootball https://t.co/X8GDSN6800
1450580531603726337,2021-10-19 21:52:03+00:00,Top of the group. ❤️💙 @PSG_inside https://t.co/dks1BS8Bb0
1449140570933366787,2021-10-15 22:30:10+00:00,@PSG_inside JUANIIIIIIIIIITO 😍😍😍✊🏽
1447320594945613826,2021-10-10 21:58:14+00:00,"L’HISTOIRE CONTINUE DE S’ÉCRIRE… 
ALLEZ LES BLEUS 🇫🇷🏆👊🏽 https://t.co/wEIKvZTPRQ"
1446221063118012420,2021-10-07 21:09:05+00:00,@equipedefrance ❤️
1446219964034297862,2021-10-07 21:04:43+00:00,"Une remontée qui restera, et une place en finale. 
Super travail de toute l’équipe.
Rendez-vous dimanche !!!!! 

ALLEZ LES BLEUS 🇫🇷🇫🇷🇫🇷🇫🇷🇫🇷 https://t.co/0CVlBeRrgg"
id,date,tweet
1486074687838949379,2022-01-25 20:33:10+00:00,"ACHRAF HAKIMI. 
BEST RB IN THE WORLD. 

GOOD NIGHT GUYS. 👋🏽"
1480523688688631810,2022-01-10 12:55:28+00:00,"Je te souhaite également une bonne année ma petite Camille ❤️🙏🏽. 
Continues de te battre comme tu le fais, tu nous donnes une leçon de vie à tous. ✊🏽

La violence des commentaires pour une gamine… On est vraiment en train de toucher le fond. Il s’agirait de se ressaisir un peu. https://t.co/UgBTVnzhTB"
1477064480337145860,2021-12-31 23:49:49+00:00,2️⃣0️⃣2️⃣2️⃣
1477021621630246912,2021-12-31 20:59:30+00:00,"Road to 2️⃣0️⃣2️⃣2️⃣… 

Happy New Year everyone
I wish you health, happiness and success. 🎊❤️ https://t.co/t5upikqz0L"
1475398471679160326,2021-12-27 09:29:41+00:00,@Globe_Soccer @tiktok_us @DubaiSC 🙏🏽💪🏽
1472939561923878916,2021-12-20 14:38:52+00:00,@AS_Monaco_ES ❤️🙏🏽
1472871299202662403,2021-12-20 10:07:37+00:00,@equipedefrance 💙🤍❤️
1472871257611939842,2021-12-20 10:07:27+00:00,@PSG_inside ❤️💙
1471813096406716421,2021-12-17 12:02:41+00:00,"I am delighted to announce that I am now officially part of Maison Dior. Can’t wait to share our collaborations in men’s fashion and Sauvage fragrance
#Dior #DiorSauvage #DiorFragrance @Dior https://t.co/hQtGyqGtKl"
1470040292086722563,2021-12-12 14:38:12+00:00,😳😳😳 #AbuDhabiGP #F1
1465305899581546501,2021-11-29 13:05:25+00:00,TT x KM 🔥🔥🔥 https://t.co/OzRhhx77Gy
1465033037289246727,2021-11-28 19:01:09+00:00,"RIP VIRGIL ABLOH 🕊

No one will forget the impact you had. God bless you my friend."
1459650924981411847,2021-11-13 22:34:34+00:00,"DIRECTION LE QATAR 🇫🇷✈️🇶🇦

Soirée mémorable pour une qualification méritée. 
Une grosse pensée pour toutes les familles des victimes 13.11.15. 
Et aussi une grande fierté de rejoindre la légende J.Fontaine avec ce quadruplé. #KYLI4N https://t.co/njHbgWJBCN"
1459232453768491016,2021-11-12 18:51:42+00:00,@equipedefrance 🏡👋🏽
1459232382855299079,2021-11-12 18:51:25+00:00,@Farodessinateur Un grand merci à toi 😄
1456280268990525441,2021-11-04 15:20:47+00:00,😆😆😆 @nikefootball https://t.co/X8GDSN6800
1450580531603726337,2021-10-19 21:52:03+00:00,Top of the group. ❤️💙 @PSG_inside https://t.co/dks1BS8Bb0
1449140570933366787,2021-10-15 22:30:10+00:00,@PSG_inside JUANIIIIIIIIIITO 😍😍😍✊🏽
1447320594945613826,2021-10-10 21:58:14+00:00,"L’HISTOIRE CONTINUE DE S’ÉCRIRE… 
ALLEZ LES BLEUS 🇫🇷🏆👊🏽 https://t.co/wEIKvZTPRQ"
1446221063118012420,2021-10-07 21:09:05+00:00,@equipedefrance ❤️
1446219964034297862,2021-10-07 21:04:43+00:00,"Une remontée qui restera, et une place en finale. 
Super travail de toute l’équipe.
Rendez-vous dimanche !!!!! 

ALLEZ LES BLEUS 🇫🇷🇫🇷🇫🇷🇫🇷🇫🇷 https://t.co/0CVlBeRrgg"
